name,EK,SK,Confidence
Top,22,22,100
B,150,188,90
C,281,387,80
D,366,480,80
E,498,606,80
Tb,735,850,95
F,796,924,90
G,939,1086,80
H,1071,1216,80
J,1322,1456,80
K,1918,2069,80
