year,EK,SK
22,10.83,3.049999999999997
23,2.26,8.20999999999998
24,2.26,1.9500000000000028
25,5.87,4.230000000000018
26,3.16,2.710000000000008
27,4.06,1.529999999999987
28,9.48,5.670000000000002
29,3.61,3.3899999999999864
30,4.52,4.310000000000045
31,3.16,7.369999999999948
32,4.97,11.009999999999991
33,24.83,4.660000000000011
34,4.52,6.260000000000048
35,8.13,9.989999999999952
36,5.87,2.1999999999999886
37,5.87,3.3100000000000307
38,6.32,7.190000000000012
39,3.16,6.019999999999968
40,3.16,3.2100000000000506
41,2.71,3.2199999999999562
42,8.58,3.9800000000000324
43,2.71,4.3199999999999505
44,3.16,3.2200000000000273
45,8.129999999999999,12.439999999999998
46,2.71,5.249999999999986
47,3.16,9.149999999999991
48,10.84,6.100000000000065
49,17.61,6.429999999999936
50,2.71,6.52000000000001
51,4.06,6.940000000000026
52,2.71,3.049999999999997
53,21.67,5.17000000000003
54,6.32,10.239999999999938
55,7.68,4.909999999999997
56,9.03,5.85000000000008
57,3.61,10.069999999999908
58,3.16,12.03000000000003
59,1.805,8.119999999999976
60,1.805,3.7300000000000466
61,4.52,5
62,2.71,6.940000000000026
63,1.58,4.909999999999997
64,1.58,9.14999999999992
65,2.03,13.370000000000033
66,2.03,12.03000000000003
67,2.26,12.950000000000017
68,2.26,13.639999999999901
69,2.26,8.719999999999999
70,2.71,10.500000000000114
71,3.16,4.320000000000022
72,3.16,3.9799999999999613
73,4.52,2.1999999999999886
74,11.29,2.879999999999967
75,6.32,5.500000000000114
76,2.935,2.710000000000008
77,2.935,2.3699999999999477
78,14,1.7799999999999727
79,6.32,7.879999999999967
80,4.06,12.950000000000017
81,4.06,4.5700000000000784
82,2.26,6.0199999999998965
83,2.26,13.120000000000118
84,3.61,6.689999999999969
85,4.97,5.499999999999972
86,5.87,19.21999999999997
87,7.68,7.710000000000008
88,6.77,5.250000000000057
89,4.52,14.059999999999917
90,5.42,4.5700000000000784
91,11.29,14.309999999999974
92,4.97,11.089999999999947
93,10.39,13.20999999999998
94,1.805,20.57000000000002
95,1.805,1.2800000000000011
96,6.77,1.9400000000000261
97,10.39,17.109999999999985
98,6.77,5.840000000000032
99,2.485,2.6200000000000045
100,2.485,2.8000000000000114
101,7.68,5.589999999999975
102,5.87,8.55000000000004
103,14.45,8.04000000000002
104,7.68,6.779999999999973
105,3.16,5.589999999999975
106,20.77,4.060000000000059
107,6.32,13.119999999999976
108,4.06,10
109,4.06,4.140000000000015
110,4.97,12.710000000000008
111,2.71,3.299999999999983
112,7.68,7.6200000000000045
113,7.22,7.369999999999948
114,2.935,7.109999999999985
115,2.935,3.299999999999983
116,3.16,1.8600000000000705
117,4.06,4.739999999999895
118,7.22,4.490000000000123
119,6.77,4.14999999999992
120,2.71,5.079999999999956
121,4.52,5.420000000000016
122,11.74,7.199999999999989
123,6.32,12.020000000000124
124,7.22,5.759999999999934
125,3.61,13.20999999999998
126,4.97,6.180000000000092
127,7.22,3.1299999999998818
128,4.06,2.6300000000000523
129,6.32,6.430000000000007
130,14.45,12.369999999999948
131,4.74,5.080000000000098
132,4.74,9.140000000000015
133,10.84,5.669999999999931
134,6.32,7.710000000000008
135,6.32,6.859999999999928
136,11.29,11.090000000000089
137,8.13,5.589999999999975
138,5.87,5.420000000000016
139,8.58,5.669999999999931
140,8.22,12.280000000000086
141,5.48,9.909999999999854
142,6.85,1.9400000000001683
143,8.22,10.759999999999934
144,4.11,6.690000000000111
145,8.67,6.850000000000023
146,5.48,3.9799999999999613
147,7.3,5.759999999999934
148,5.48,2.119999999999891
149,25.11,17.700000000000102
150,2.74,11.939999999999884
151,4.11,7.700000000000102
152,13.24,12.789999999999964
153,9.13,12.870000000000061
154,4.56,11.169999999999902
155,8.67,11.17999999999995
156,5.02,6.520000000000152
157,6.39,5.080000000000098
158,13.24,7.449999999999761
159,8.22,13.800000000000239
160,8.67,14.230000000000018
161,27.85,4.14999999999992
162,9.55,7.109999999999843
163,7.8,9.150000000000205
164,7.76,4.059999999999775
165,5.02,5.250000000000057
166,5.93,3.8900000000001
167,5.93,7.199999999999989
168,7.3,5.589999999999975
169,5.93,5.929999999999893
170,7.3,10.92000000000013
171,5.93,8.379999999999939
172,5.02,5.510000000000161
173,1.83,6.349999999999909
174,4.56,5.759999999999934
175,3.65,4.910000000000139
176,4.56,5.749999999999886
177,5.48,0.9399999999999409
178,5.48,1.17999999999995
179,6.39,7.880000000000109
180,7.76,5.500000000000114
181,7.76,5.249999999999773
182,7.3,8.8900000000001
183,5.02,3.900000000000148
184,7.76,3.3799999999999386
185,9.59,4.069999999999823
186,5.48,8.720000000000141
187,3.65,9.569999999999936
188,5.02,14.38999999999993
189,3.2,6.770000000000209
190,9.59,5.420000000000016
191,6.85,10.669999999999789
192,10.96,10.420000000000016
193,11.87,13.04000000000002
194,3.63,7.530000000000143
195,4.53,4.489999999999839
196,8.61,7.540000000000191
197,5.44,3.8100000000000023
198,5.89,9.819999999999993
199,13.6,10.579999999999927
200,4.99,2.0400000000000773
201,5.89,6.17999999999995
202,5.44,6.8600000000000705
203,6.35,10.919999999999845
204,4.08,7.700000000000102
205,4.53,5.509999999999877
206,8.16,6.8600000000000705
207,5.89,8.719999999999857
208,8.16,4.060000000000059
209,10.88,21.340000000000146
210,10.879999999999999,11.769999999999925
211,6.8,7.199999999999989
212,6.35,4.989999999999952
213,9.52,4.410000000000025
214,4.08,6.599999999999966
215,7.71,3.5599999999999454
216,10.43,8.04000000000002
217,4.99,3.5599999999999454
218,8.16,2.370000000000232
219,5.44,9.819999999999993
220,6.8,2.5399999999999068
221,4.99,4.830000000000041
222,4.99,5.32999999999987
223,13.6,5.250000000000057
224,4.99,10.080000000000098
225,5.44,4.989999999999952
226,6.35,8.810000000000002
227,5.89,4.830000000000041
228,4.99,9.650000000000034
229,5.44,1.8599999999997863
230,7.25,6.690000000000111
231,8.16,4.399999999999977
232,4.53,1.6100000000000136
233,6.35,2.5399999999999068
234,5.44,4.74000000000018
235,9.52,4.069999999999823
236,9.52,7.790000000000248
237,7.25,11.349999999999909
238,4.08,5.919999999999845
239,6.35,1.1899999999999977
240,4.99,11.77000000000021
241,3.17,5.4999999999998295
242,4.08,2.880000000000109
243,4.53,7.4500000000000455
244,11.78,5.929999999999893
245,4.53,7.110000000000127
246,7.71,3.3899999999999864
247,6.8,6.349999999999909
248,5.89,2.3699999999999477
249,6.8,7.369999999999948
250,5.89,8.800000000000239
251,4.99,12.199999999999989
252,4.53,5.249999999999773
253,4.08,4.399999999999977
254,7.25,6.009999999999991
255,9.97,9.650000000000034
256,5.665,8.720000000000141
257,5.665,3.1399999999999295
258,6.8,5.589999999999975
259,7.71,3.9799999999999613
260,5.89,5.500000000000114
261,11.78,1.349999999999909
262,8.16,1.7000000000001592
263,6.35,2.5399999999999068
264,7.25,6.599999999999966
