year,EK,SK
22,10.83,3.299999999999983
23,2.26,5.589999999999975
24,2.26,6.610000000000014
25,5.87,7.109999999999985
26,3.16,9.650000000000034
27,4.06,6.34999999999998
28,9.48,8.639999999999972
29,3.61,8.38000000000001
30,4.52,6.859999999999999
31,3.16,3.8100000000000023
32,4.97,4.070000000000036
33,24.83,7.6200000000000045
34,4.52,15.749999999999957
35,8.13,7.86999999999999
36,5.87,8.38000000000001
37,5.87,5.339999999999989
38,6.32,7.6200000000000045
39,3.16,12.190000000000012
40,3.16,11.430000000000007
41,2.71,12.449999999999974
42,8.58,5.080000000000027
43,2.71,9.399999999999977
44,3.16,6.100000000000065
45,8.129999999999999,6.849999999999952
46,2.71,6.099999999999994
47,3.16,7.109999999999985
48,10.84,7.880000000000038
49,17.61,10.670000000000002
50,2.71,4.819999999999993
51,4.06,5.8500000000000085
52,2.71,10.160000000000053
53,21.67,11.679999999999922
54,6.32,8.38000000000008
55,7.68,3.8100000000000023
56,9.03,4.829999999999899
57,3.61,7.109999999999985
58,3.16,5.080000000000098
59,1.805,8.889999999999958
60,1.805,13.469999999999942
61,4.52,11.680000000000064
62,2.71,13.469999999999942
63,1.58,13.460000000000036
64,1.58,8.38000000000008
65,2.03,10.419999999999874
66,2.03,11.430000000000007
67,2.26,8.8900000000001
68,2.26,5.589999999999975
69,2.26,6.349999999999909
70,2.71,8.38000000000008
71,3.16,12.86999999999992
72,3.16,4.320000000000022
73,4.52,6.350000000000051
74,11.29,12.959999999999923
75,6.32,11.93000000000012
76,2.935,19.309999999999974
77,2.935,8.130000000000024
78,14,4.569999999999936
79,6.32,14.480000000000075
80,4.06,4.3199999999998795
81,4.06,14.220000000000113
82,2.26,11.430000000000007
83,2.26,12.959999999999923
84,3.61,11.430000000000007
85,4.97,9.399999999999977
86,5.87,8.130000000000024
87,7.68,12.18999999999994
88,6.77,6.100000000000136
89,4.52,2.7899999999999636
90,5.42,2.8000000000000114
91,11.29,13.969999999999914
92,4.97,8.130000000000024
93,10.39,6.350000000000051
94,1.805,5.840000000000032
95,1.805,4.569999999999936
96,6.77,12.18999999999994
97,10.39,10.170000000000101
98,6.77,4.309999999999974
99,2.485,12.710000000000008
100,2.485,3.8100000000000023
101,7.68,7.109999999999985
102,5.87,7.6200000000000045
