name,EK,SK,Confidence
Top,22,22,100
B,150,170,90
C,281,317,80
D,366,394,80
E,498,510,80
Tb,735,728,95
F,796,802,90
G,939,957,80
H,1071,1072,80
J,1322,1306,80
K,1918,1860,80
