name,EK,SK,Confidence
Top,22,22,100
B,150,170,90
C,281,323,80
D,366,406,80
E,498,526,80
Tb,735,737,95
F,796,811,90
G,939,968,80
H,1071,1098,80
J,1322,1334,80
K,1918,1914,80
