name,EK,SK,Confidence
Top,22,22,100
B,150,190,90
C,281,380,80
D,366,473,80
E,498,599,80
Tb,735,843,95
F,796,917,90
G,939,1079,80
H,1071,1209,80
J,1322,1449,80
K,1918,2062,80
