name,EK,SK,Confidence
Top,22,22,100
B,150,178,90
C,281,347,80
D,366,429,80
E,498,545,80
Tb,735,749,95
F,796,823,90
G,939,990,80
H,1071,1131,80
J,1322,1375,80
K,1918,2030,80
