name,EK,SK,Confidence
Top,22,22,100
B,150,165,90
C,281,307,80
D,366,397,80
E,498,513,80
Tb,735,732,95
F,796,815,90
G,939,980,80
H,1071,1119,80
J,1322,1367,80
K,1918,1967,80
