name,EK,SK,Confidence
Top,22,22,100
B,150,163,90
C,281,309,80
D,366,396,80
E,498,516,80
Tb,735,736,95
F,796,811,90
G,939,974,80
H,1071,1102,80
J,1322,1345,80
K,1918,1920,80
