name,EK,SK,Confidence
Top,22,22,100
B,150,161,90
C,281,289,80
D,366,358,80
E,498,466,80
Tb,735,675,95
F,796,749,90
G,939,903,80
H,1071,1030,80
J,1322,1252,80
K,1918,1773,80
