year,EK,SK
22,0.02,0.15789835832522592
23,0.02,0.1584656490289118
24,0.02,0.1590452586566578
25,0.02,0.15787243372908388
26,0.02,0.1566843009364437
27,0.02,0.15730062564875066
28,0.02,0.15563962500227296
29,0.02,0.15923012043914533
30,0.02,0.15816381113237382
31,0.02,0.1575730150210488
32,0.02,0.1575730150210488
33,0.02,0.15965030458875631
34,0.02,0.15966847223299577
35,0.02,0.15755999564740453
36,0.02,0.15410493801398392
37,0.02,0.15264906532717248
38,0.02,0.15181273406045234
39,0.02,0.15045432736421027
40,0.02,0.14817540010257976
41,0.02,0.14546060749447165
42,0.02,0.1451916091523479
43,0.132,0.14536054079257824
44,0.121,0.14417032566211396
45,0.117,0.14714092908320245
46,0.124,0.14351493484629857
47,0.102,0.14171858736273013
48,0.123,0.1416804984774445
49,0.127,0.14117008778284207
50,0.134,0.1401444610304454
51,0.143,0.13861656658607432
52,0.123,0.1398833612728433
53,0.1,0.13904291012329584
54,0.115,0.13968516438939976
55,0.115,0.1406312464435655
56,0.203,0.14015869722033905
57,0.181,0.1436106329512868
58,0.083,0.14296585925703575
59,0.105,0.1434329656006885
60,0.086,0.14345379959540316
61,0.094,0.14387419926563744
62,0.08,0.14310790737393642
63,0.081,0.1420283819794121
64,0.087,0.14006581316773015
65,0.103,0.14146360030545604
66,0.104,0.1389674904630129
67,0.093,0.140730666429048
68,0.099,0.1408156380113747
69,0.108,0.14689381112802255
70,0.103,0.14670729590234674
71,0.095,0.14665454699765712
72,0.108,0.14821415047387532
73,0.086,0.15148640036118713
74,0.1,0.15229185345629512
75,0.092,0.15502514821539298
76,0.102,0.15164509026694573
77,0.094,0.15015607130360292
78,0.079,0.15089101231569962
79,0.12,0.15527166957795516
80,0.122,0.15622815380545102
81,0.099,0.15349261517161067
82,0.112,0.15027955977945945
83,0.121,0.15238018509740014
84,0.108,0.1584353176634963
85,0.124,0.15783055676172822
86,0.133,0.1583363363070975
87,0.129,0.15616794547785826
88,0.117,0.15973118093621538
89,0.135,0.1610601171164935
90,0.105,0.15648987333001893
91,0.138,0.15974382511716875
92,0.122,0.1592417292035367
93,0.128,0.1590937376037878
94,0.119,0.15630479887094884
95,0.12,0.15618621146907055
96,0.117,0.15583781440020114
97,0.122,0.15450041646789417
98,0.12,0.15485318912030976
99,0.119,0.15536542454348712
100,0.121,0.1543741543761067
101,0.121,0.15489766276735703
102,0.123,0.15489766276735703
103,0.122,0.1535124970427656
104,0.108,0.1543741543761067
105,0.12,0.153765655412295
106,0.106,0.15451319250893558
107,0.12,0.16029237586687684
108,0.12,0.16029237586687684
109,0.117,0.16029237586687684
110,0.103,0.16275359283122934
111,0.104,0.16696718606204275
112,0.103,0.16484012639346463
113,0.115,0.16220172210013178
114,0.121,0.1636502243044525
115,0.111,0.1656324496155601
116,0.116,0.16548121165676444
117,0.113,0.16202267698864628
118,0.121,0.16055927096280279
119,0.116,0.1609706936220743
120,0.124,0.1653252212174213
121,0.112,0.16709719699221184
122,0.1,0.16819495746614052
123,0.102,0.16734825417864474
124,0.066,0.1690074154838515
125,0.051,0.17128198118598253
126,0.055,0.17336795733906787
127,0.045,0.17499522236291637
128,0.062,0.17488292082785606
129,0.044,0.17587343015838178
130,0.057,0.17793371156133533
131,0.054,0.17634145225882816
132,0.051,0.17305343076718688
133,0.043,0.17097595915134067
134,0.061,0.17301260015868122
135,0.048,0.17150071193541006
136,0.046,0.16883662883799133
137,0.054,0.16883662883799133
138,0.055,0.1673662606201671
139,0.051,0.17045649114742706
140,0.054,0.16559064142428329
141,0.052,0.16616923958017937
142,0.051,0.16395875706112742
143,0.051,0.16620236381626807
144,0.043,0.16824012529507526
145,0.05,0.16797633530205205
146,0.043,0.16484015909081715
147,0.044,0.16541423444084044
148,0.048,0.16541423444084044
149,0.051,0.1696017867520499
150,0.053,0.1681217436112681
151,0.045,0.16754912484721085
152,0.048,0.16737787562183337
153,0.049,0.16833708237209435
154,0.047,0.16990560142895378
155,0.056,0.1686400207488319
156,0.044,0.16648686649011202
157,0.052,0.16301316730655338
158,0.054,0.16301316730655338
159,0.044,0.16301316730655338
160,0.056,0.16268628302868335
161,0.052,0.1670319584405828
162,0.049,0.16627291253211102
163,0.054,0.16125731094849033
164,0.054,0.1613003550696046
165,0.045,0.1621029058645405
166,0.136,0.1571108306669759
167,0.189,0.16004258505512467
168,0.184,0.16156050103829883
169,0.152,0.1599383577205636
170,0.167,0.1626961223763464
171,0.151,0.161902541019132
172,0.168,0.1624365256329595
173,0.147,0.1625449926509988
174,0.16,0.16545664761319842
175,0.158,0.16805477259768953
176,0.175,0.16576946443177318
177,0.143,0.166325147697313
178,0.151,0.16493406464384455
179,0.062,0.16193417725244383
180,0.055,0.1622044944787583
181,0.056,0.16022260895442192
182,0.054,0.16063966691850087
183,0.047,0.15895049469449207
184,0.06,0.15765867088602095
185,0.055,0.16011203653843414
186,0.058,0.15969209231463358
187,0.063,0.15553263723355357
188,0.05,0.15249292484606233
189,0.051,0.15159755335036967
190,0.049,0.1516560740559028
191,0.051,0.1512652363774766
192,0.063,0.1516560740559028
193,0.054,0.15214835265505341
194,0.067,0.15169734420948056
195,0.041,0.14856965156832508
196,0.062,0.1487986298833174
197,0.05,0.14912593637153237
198,0.055,0.14650507090481518
199,0.059,0.14532107509670533
200,0.045,0.14410979619892722
201,0.052,0.14470417574211394
202,0.054,0.1451797842651299
203,0.052,0.1432041921935586
204,0.051,0.1421888642426032
205,0.061,0.1418021064929376
206,0.067,0.13973178269127184
207,0.048,0.1388396164558896
208,0.063,0.14046865859819008
209,0.042,0.13995613229549395
210,0.042,0.13841145431803617
211,0.062,0.14126411481509482
212,0.065,0.14109278980609175
213,0.061,0.13948120242149728
214,0.055,0.14001717357621435
215,0.066,0.1398066775177925
216,0.06,0.13951858958251429
217,0.046,0.14135995555937117
218,0.072,0.1450263648883123
219,0.069,0.14447269363951504
220,0.053,0.14550468318164467
221,0.072,0.1423923129766368
222,0.069,0.1429537140328194
223,0.083,0.1406975644767518
224,0.063,0.13561137498276973
225,0.067,0.1328134300348344
226,0.076,0.1318648517341456
227,0.054,0.13175218459201068
228,0.08,0.13170110839096633
229,0.068,0.13151944423534281
230,0.079,0.13013982005759375
231,0.071,0.12876111832311998
232,0.063,0.12801389346396796
233,0.064,0.12834597327998287
234,0.059,0.12790326373477423
235,0.064,0.12835867411258958
236,0.069,0.12660028786513333
237,0.077,0.12818176210997037
238,0.047,0.12483847232479073
239,0.057,0.12552353045792705
240,0.07,0.12199433369222124
241,0.065,0.12259781425259857
242,0.06,0.12101452354598102
243,0.06,0.1179679363863822
244,0.065,0.11758393474704396
245,0.074,0.11724115816368426
246,0.071,0.11715389907584316
247,0.071,0.1156665711132807
248,0.071,0.11649025082467009
249,0.066,0.11684294664832076
250,0.056,0.11637668760327194
251,0.079,0.1184567558610174
252,0.074,0.1162109650510399
253,0.067,0.11851468896206839
254,0.067,0.1164255669146074
255,0.077,0.1186463429395586
256,0.058,0.11794465461669672
257,0.054,0.12029541964003701
258,0.087,0.12030049842878499
259,0.063,0.12029290417124049
260,0.062,0.11730130221436316
261,0.067,0.1177829680761586
262,0.072,0.11864394635282205
263,0.064,0.11891221985549377
264,0.061,0.1191044462214457
265,0.048,0.12154913396170675
266,0.062,0.12137391607183846
267,0.05,0.12341361586167322
268,0.066,0.12281136194915264
269,0.06,0.12303918722418412
270,0.076,0.1210491188700911
271,0.069,0.12254589127220143
272,0.064,0.12438794278535949
273,0.061,0.12477034291608492
274,0.069,0.12333230944753343
275,0.066,0.12608808160431315
276,0.071,0.1267955775489092
277,0.081,0.12608808160431315
278,0.073,0.1261543885408233
279,0.083,0.12565652593612464
280,0.07,0.1267127566267788
281,0.065,0.1267881784905503
282,0.063,0.12641487208464544
283,0.053,0.1259062592008735
284,0.07,0.12588634326384326
285,0.07,0.1285397064666016
286,0.086,0.12787954015462175
287,0.087,0.12837135882097966
288,0.089,0.12762793912846057
289,0.086,0.1283291897675628
290,0.095,0.12731712319395708
291,0.083,0.1260577096296158
292,0.093,0.12606074435697956
293,0.093,0.12643811101772842
294,0.115,0.12709917981963492
295,0.145,0.12672954858577856
296,0.077,0.1269626254512486
297,0.075,0.1274081964840064
298,0.069,0.12808161638870777
299,0.064,0.1276651110678641
300,0.059,0.12721432137950833
301,0.059,0.1265929472903629
302,0.059,0.12660856006279703
303,0.059,0.126441677669448
304,0.061,0.1249874266172954
305,0.078,0.12469423644331473
306,0.056,0.12356898813714803
307,0.058,0.12355108565145774
308,0.063,0.12334739872122366
309,0.063,0.12215220641096061
310,0.047,0.12163816680099314
311,0.045,0.12018360316772998
312,0.073,0.12136812894996116
313,0.054,0.12058585027935434
314,0.065,0.12272306056088693
315,0.07,0.12337898390011601
316,0.055,0.12269840236715297
317,0.068,0.12286450577689606
318,0.067,0.12260287035026608
319,0.058,0.12244170204426723
320,0.073,0.12343823918150669
321,0.053,0.12446022262486957
322,0.062,0.12446022262486957
323,0.066,0.12393975888504948
324,0.053,0.1237870398330966
325,0.064,0.12361008668460492
326,0.072,0.12296739981640246
327,0.063,0.12295576401630898
328,0.077,0.12301178762793427
329,0.062,0.12236524486846387
330,0.062,0.12246143389692735
331,0.056,0.12192173416980401
332,0.062,0.1225819382880301
333,0.048,0.12318072231468731
334,0.062,0.12300894804658963
335,0.064,0.12369393327333042
336,0.08,0.12291336193794562
337,0.064,0.12333064551112259
338,0.064,0.12333064551112259
339,0.06,0.12194059480254013
340,0.064,0.12301958607260706
341,0.067,0.1231009981525848
342,0.084,0.1229909840992086
343,0.06,0.12130732207155423
344,0.06,0.12135559440278819
345,0.061,0.12062054663302088
346,0.058,0.12031547205433125
347,0.063,0.11843162359286274
348,0.06,0.11843162359286274
349,0.061,0.11846961090851071
350,0.059,0.1169360278167442
351,0.08,0.1179059741805248
352,0.08,0.11777123389999607
353,0.09,0.11714747376023839
354,0.085,0.11584341160377382
355,0.09,0.11520965348562498
356,0.091,0.11608295150599543
357,0.078,0.11588830618306144
358,0.091,0.11441749169820677
359,0.083,0.11293743420699982
360,0.093,0.11300441358967504
361,0.084,0.10931028163475319
362,0.074,0.10727537651027169
363,0.075,0.10706111599530872
364,0.076,0.10647496732083618
365,0.062,0.10647496732083618
366,0.077,0.10652546113161931
367,0.07,0.10649386277210662
368,0.051,0.10718832723268673
369,0.077,0.10713958734242195
370,0.067,0.10710097771605358
371,0.068,0.107555905099224
372,0.051,0.10661982065163088
373,0.056,0.1058909807494443
374,0.058,0.10588090198912987
375,0.059,0.10550145970822249
376,0.048,0.10488860991281831
377,0.061,0.10425597354004394
378,0.049,0.10437911930500526
379,0.05,0.10435660343596055
380,0.055,0.10433463767576207
381,0.06,0.10433463767576207
382,0.054,0.10473811583983116
383,0.054,0.10445382003219231
384,0.053,0.10421471422519726
385,0.052,0.10333285092961235
386,0.069,0.10274476599609458
387,0.066,0.10209432407581376
388,0.064,0.1039343624746215
389,0.057,0.10351294721040141
390,0.044,0.10236067830502284
391,0.059,0.10332147163990904
392,0.063,0.10271285606536727
393,0.073,0.10266801909087075
394,0.063,0.10231393876684719
395,0.058,0.10259711870818139
396,0.05,0.10329887237523776
397,0.051,0.10335773438045778
398,0.049,0.10200065525687436
399,0.053,0.10082349136020116
400,0.06,0.0999765428841082
401,0.047,0.09958355746152242
402,0.058,0.1007117126355487
403,0.055,0.1004587979382943
404,0.041,0.09857942210818957
405,0.057,0.0979629014003514
406,0.064,0.0980581541705341
407,0.065,0.09775122678049074
408,0.055,0.09714986959416716
409,0.055,0.09770147266817436
410,0.05,0.0981041765750164
411,0.069,0.0981041765750164
412,0.08,0.098737690405548
413,0.059,0.09821103614420845
414,0.066,0.09737787006626197
415,0.07,0.09738031874866312
416,0.053,0.09662558248212821
417,0.055,0.09594829540785689
418,0.058,0.09584847536199888
419,0.04,0.09538418408271164
420,0.055,0.09496878759617447
421,0.059,0.0950904557120958
422,0.057,0.09402186331198592
423,0.052,0.09411047721152586
424,0.051,0.0940875321126107
425,0.063,0.09226314580528071
426,0.05,0.09125993626277906
427,0.057,0.08970843922600212
428,0.053,0.09126005118942651
429,0.05,0.09057733691268602
430,0.053,0.09014463139947335
431,0.056,0.09141911131160235
432,0.06,0.09173571968531863
433,0.059,0.09231437044044054
434,0.055,0.09161313326417563
435,0.042,0.091125005617050725
436,0.061,0.09130196678959428
437,0.052,0.08808875287890909
438,0.051,0.08806660442211026
439,0.052,0.08826953716954469
440,0.053,0.08663922000284777
441,0.06,0.08608110589150643
442,0.052,0.08608110589150643
443,0.046,0.08566516777480378
444,0.063,0.08580212608977678
