year,EK,SK
22,10.83,6.950000000000003
23,2.26,2.0299999999999585
24,2.26,5.420000000000016
25,5.87,9.309999999999974
26,3.16,6.099999999999994
27,4.06,10.330000000000013
28,9.48,6.940000000000026
29,3.61,6.950000000000003
30,4.52,3.719999999999999
31,3.16,4.069999999999965
32,4.97,7.6200000000000045
33,24.83,11.000000000000014
34,4.52,4.410000000000025
35,8.13,7.959999999999994
36,5.87,8.290000000000006
37,5.87,5.589999999999975
38,6.32,7.280000000000015
39,3.16,12.86999999999999
40,3.16,10.670000000000002
41,2.71,17.789999999999964
42,8.58,9.480000000000004
43,2.71,12.530000000000001
44,3.16,6.610000000000014
45,8.129999999999999,6.430000000000007
46,2.71,8.55000000000004
47,3.16,9.989999999999952
48,10.84,5.420000000000016
49,17.61,5.929999999999964
50,2.71,9.990000000000094
51,4.06,11.859999999999928
52,2.71,8.38000000000008
53,21.67,3.219999999999885
54,6.32,5.080000000000098
55,7.68,7.279999999999944
56,9.03,4.909999999999997
57,3.61,9.140000000000015
58,3.16,13.04000000000002
59,1.805,11.68999999999997
60,1.805,13.119999999999976
61,4.52,14.06000000000006
62,2.71,8.379999999999939
63,1.58,10.499999999999972
64,1.58,11.350000000000051
65,2.03,9.140000000000015
66,2.03,4.909999999999997
67,2.26,7.540000000000049
68,2.26,7.449999999999903
69,2.26,13.20999999999998
70,2.71,4.5700000000000784
71,3.16,6.269999999999953
72,3.16,12.870000000000061
73,4.52,12.620000000000005
74,11.29,18.619999999999948
75,6.32,7.789999999999964
76,2.935,5.250000000000057
77,2.935,14.230000000000018
78,14,4.569999999999936
79,6.32,14.06000000000006
80,4.06,11.509999999999962
81,4.06,12.870000000000061
82,2.26,11.009999999999991
83,2.26,17.779999999999916
84,3.61,12.03000000000003
85,4.97,11.509999999999962
86,5.87,14.40000000000012
87,7.68,7.959999999999923
88,6.77,6.599999999999966
89,4.52,9.150000000000063
90,5.42,13.709999999999951
91,11.29,9.830000000000041
92,4.97,4.060000000000059
93,10.39,12.3599999999999
94,1.805,11.009999999999991
95,1.805,7.960000000000065
96,6.77,12.109999999999985
97,10.39,4.569999999999936
98,6.77,4.230000000000018
99,2.485,4.070000000000107
100,2.485,10.66999999999993
101,7.68,7.4500000000000455
102,5.87,11.679999999999922
103,14.45,5.679999999999978
104,7.68,13.540000000000134
105,3.16,11.519999999999868
106,20.77,6.430000000000007
107,6.32,12.88000000000011
108,4.06,4.909999999999997
109,4.06,8.969999999999914
110,4.97,6.2700000000000955
111,2.71,6.769999999999925
112,7.68,7.279999999999944
113,7.22,10.670000000000073
114,2.935,5.510000000000019
115,2.935,11.340000000000003
116,3.16,12.529999999999859
117,4.06,11.86000000000007
118,7.22,17.10000000000008
119,6.77,10.929999999999893
120,2.71,7.789999999999964
121,4.52,9.310000000000116
122,11.74,8.810000000000002
123,6.32,11.510000000000105
124,7.22,7.6200000000000045
125,3.61,12.699999999999818
126,4.97,13.379999999999939
127,7.22,11.009999999999991
128,4.06,11.520000000000152
129,6.32,5.919999999999845
130,14.45,4.74000000000018
131,4.74,8.129999999999882
132,4.74,13.720000000000141
133,10.84,14.06000000000006
134,6.32,4.229999999999734
135,6.32,7.280000000000086
136,11.29,8.810000000000002
137,8.13,4.060000000000059
138,5.87,5.420000000000016
139,8.58,3.8999999999998636
140,8.22,7.960000000000207
141,5.48,5.579999999999927
142,6.85,5.759999999999934
143,8.22,10.670000000000073
144,4.11,7.959999999999923
145,8.67,5.759999999999934
146,5.48,6.940000000000168
147,7.3,5.0799999999998136
148,5.48,5.080000000000098
149,25.11,15.409999999999968
150,2.74,5.250000000000057
151,4.11,5.589999999999975
152,13.24,9.14999999999992
153,9.13,3.550000000000182
154,4.56,7.6200000000000045
155,8.67,8.810000000000002
156,5.02,9.989999999999952
157,6.39,14.06000000000006
158,13.24,6.939999999999884
159,8.22,5.420000000000016
160,8.67,10.670000000000073
161,27.85,10.670000000000073
162,9.55,12.869999999999777
163,7.8,11.430000000000007
164,7.76,21.510000000000105
165,5.02,18.28000000000003
166,5.93,7.460000000000093
167,5.93,10.829999999999984
168,7.3,7.629999999999768
169,5.93,5.92000000000013
170,7.3,6.2700000000000955
171,5.93,8.799999999999955
172,5.02,4.410000000000025
173,1.83,21.169999999999902
174,4.56,12.18999999999994
175,3.65,16.09000000000009
176,4.56,10.32999999999987
177,5.48,8.04000000000002
178,5.48,3.300000000000125
179,6.39,12.109999999999843
180,7.76,3.050000000000068
181,7.76,9.989999999999952
182,7.3,5.250000000000057
183,5.02,9.989999999999952
184,7.76,4.579999999999984
185,9.59,9.06000000000006
186,5.48,4.399999999999977
187,3.65,11.680000000000064
188,5.02,7.119999999999891
189,3.2,6.090000000000089
190,9.59,2.8000000000000114
191,6.85,4.060000000000059
192,10.96,4.399999999999977
193,11.87,7.789999999999964
194,3.63,10.840000000000032
195,4.53,7.6200000000000045
196,8.61,11.86000000000007
197,5.44,8.629999999999995
198,5.89,7.119999999999891
199,13.6,5.92000000000013
200,4.99,10.32999999999987
201,5.89,8.640000000000043
202,5.44,8.129999999999882
203,6.35,8.130000000000166
204,4.08,12.019999999999982
205,4.53,5.929999999999893
206,8.16,3.8900000000001
207,5.89,6.440000000000055
208,8.16,9.650000000000034
209,10.88,11.349999999999909
210,10.879999999999999,9.309999999999832
211,6.8,11.690000000000111
212,6.35,8.629999999999995
213,9.52,8.810000000000002
214,4.08,6.610000000000014
215,7.71,6.519999999999868
216,10.43,11.850000000000023
217,4.99,8.640000000000043
218,8.16,5.579999999999927
219,5.44,7.960000000000207
220,6.8,5.250000000000057
221,4.99,4.749999999999943
222,4.99,9.819999999999993
223,13.6,9.309999999999832
224,4.99,17.61000000000024
225,5.44,3.7299999999999045
226,6.35,4.569999999999936
227,5.89,3.7299999999999045
228,4.99,4.910000000000139
229,5.44,10.500000000000114
230,7.25,7.6200000000000045
231,8.16,11.67999999999978
232,4.53,6.779999999999973
233,6.35,8.300000000000125
234,5.44,10.829999999999984
235,9.52,7.290000000000134
236,9.52,8.629999999999995
237,7.25,7.28999999999985
238,4.08,12.700000000000102
239,6.35,4.739999999999895
240,4.99,13.04000000000002
241,3.17,14.38999999999993
242,4.08,6.100000000000136
243,4.53,14.21999999999997
244,11.78,7.03000000000003
245,4.53,4.9099999999998545
246,7.71,6.950000000000216
247,6.8,8.459999999999752
248,5.89,6.2700000000000955
249,6.8,10.500000000000114
250,5.89,14.729999999999848
251,4.99,11.17999999999995
252,4.53,5.589999999999975
253,4.08,6.430000000000007
254,7.25,10.500000000000114
255,9.97,12.700000000000102
256,5.665,8.129999999999882
257,5.665,5.589999999999975
258,6.8,4.74000000000018
259,7.71,4.579999999999984
260,5.89,3.889999999999816
261,11.78,3.2200000000000273
262,8.16,14.38999999999993
263,6.35,8.470000000000084
264,7.25,4.060000000000059
265,11.78,11.86000000000007
266,12.69,7.110000000000127
267,4.99,15.240000000000009
268,4.99,10.249999999999773
269,7.25,5.419999999999732
270,6.8,13.710000000000377
271,2.945,4.239999999999782
272,2.945,4.060000000000059
273,3.4,5.4200000000003
274,3.4,5.0799999999998136
275,9.97,9.490000000000123
276,6.345,4.569999999999936
277,6.345,1.8599999999997863
278,2.945,2.880000000000109
279,2.945,5.930000000000177
280,16.545,4.9099999999998545
281,16.545,4.739999999999895
282,4.99,4.230000000000018
283,4.99,2.370000000000232
284,3.63,6.440000000000055
285,4.53,6.099999999999568
286,6.35,3.550000000000182
287,4.53,6.2700000000000955
288,5.44,11.510000000000105
289,4.53,6.100008467400357
290,4.99,6.2700000000000955
291,2.72,1.6899999999998272
292,5.89,2.880000000000109
293,6.35,5.590000000000259
294,6.35,2.3699999999996635
295,7.25,3.550000000000182
296,5.89,2.880000000000109
297,8.61,10.840000000000032
298,7.71,5.75999999999965
299,4.53,6.770000000000209
300,5.89,6.2700000000000955
301,2.495,5.930000000000177
302,2.495,3.3799999999996544
303,4.08,4.24000000000035
304,4.99,6.9399999999996
305,8.16,2.880000000000109
306,16.77,7.280000000000086
307,9.07,3.8999999999998636
308,5.89,4.230000000000018
309,4.53,4.569999999999936
310,5.44,4.24000000000035
311,11.78,8.629999999999995
312,9.07,7.959999999999923
313,4.99,2.71000000000015
314,7.71,7.449999999999477
315,4.99,2.200000000000273
316,9.52,2.880000000000109
317,4.99,4.409999999999741
318,4.53,4.230000000000018
319,6.35,7.6200000000000045
