name,EK,SK,Confidence
Top,22,22,100
B,150,157,90
C,281,291,80
D,366,361,80
E,498,463,80
Tb,735,665,95
F,796,738,90
G,939,893,80
H,1071,1024,80
J,1322,1242,80
K,1918,1720,80
