name,EK,SK,Confidence
Top,22,22,100
B,150,174,90
C,281,312,80
D,366,371,80
E,498,462,80
Tb,735,649,95
F,796,718,90
G,939,868,80
H,1071,982,80
J,1322,1194,80
K,1918,1694,80
