name,EK,SK,Confidence
Top,22,22,100
B,150,139,90
C,281,278,80
D,366,352,80
E,498,474,80
Tb,735,697,95
F,796,775,90
G,939,937,80
H,1071,1073,80
J,1322,1319,80
K,1918,1946,80
