year,EK,SK
22,10.83,3.2800000000000296
23,2.26,7.790000000000035
24,2.26,2.0299999999999585
25,5.87,6.769999999999996
26,3.16,1.810000000000045
27,4.06,5.419999999999945
28,9.48,3.610000000000042
29,3.61,3.94999999999996
30,4.52,7.790000000000035
31,3.16,9.26000000000002
32,4.97,6.319999999999979
33,24.83,6.52000000000001
34,4.52,1.3599999999999568
35,8.13,8.350000000000009
36,5.87,2.259999999999991
37,5.87,3.160000000000025
38,6.32,7.449999999999974
39,3.16,5.9900000000000375
40,3.16,2.710000000000008
41,2.71,3.94999999999996
42,8.58,3.610000000000042
43,2.71,3.7299999999999756
44,3.16,2.0300000000000296
45,8.129999999999999,2.0299999999999585
46,2.71,12.530000000000001
47,3.16,5.200000000000031
48,10.84,9.029999999999987
49,17.61,5.640000000000001
50,2.71,6.890000000000001
51,4.06,6.289999999999978
52,2.71,6.780000000000044
53,21.67,3.269999999999982
54,6.32,5.420000000000016
55,7.68,10.049999999999955
56,9.03,5.300000000000011
57,3.61,5.650000000000048
58,3.16,10.189999999999912
59,1.805,11.63000000000011
60,1.805,8.459999999999894
61,4.52,3.62000000000009
62,2.71,5.1899999999999125
63,1.58,6.659999999999968
64,1.58,5.080000000000098
65,2.03,9.029999999999916
66,2.03,13.500000000000085
67,2.26,11.850000000000023
68,2.26,12.729999999999961
69,2.26,13.769999999999953
70,2.71,8.920000000000101
71,3.16,10.559999999999974
72,3.16,10.949999999999989
73,4.52,3.719999999999999
74,11.29,2.4899999999999523
75,6.32,3.050000000000068
76,2.935,5.079999999999956
77,2.935,2.0300000000000296
78,14,3.049999999999926
79,6.32,2.0300000000000296
80,4.06,7.7599999999999625
81,4.06,12.870000000000061
82,2.26,4.629999999999939
83,2.26,6.210000000000093
84,3.61,12.980000000000018
85,4.97,6.37999999999991
86,5.87,5.760000000000076
87,7.68,19.080000000000013
88,6.77,8.129999999999882
89,4.52,5.190000000000055
90,5.42,14.000000000000057
91,11.29,4.289999999999878
92,4.97,14.740000000000038
93,10.39,3.160000000000025
94,1.805,3.269999999999982
95,1.805,4.7400000000000375
96,6.77,13.20999999999998
97,10.39,1.4700000000000557
98,6.77,9.11999999999992
99,2.485,9.819999999999993
100,2.485,1.490000000000009
101,7.68,1.7799999999999727
102,5.87,4.860000000000042
103,14.45,12.079999999999984
104,7.68,5.97999999999999
105,3.16,2.600000000000051
106,20.77,2.710000000000008
107,6.32,14.329999999999927
108,4.06,7.790000000000106
109,4.06,7.119999999999891
110,4.97,5.300000000000011
111,2.71,4.180000000000064
112,7.68,12.839999999999918
113,7.22,10.160000000000053
114,2.935,4.180000000000064
115,2.935,12.419999999999902
116,3.16,3.610000000000042
117,4.06,7.7599999999999625
118,7.22,7.57000000000005
119,6.77,6.550000000000011
120,2.71,3.269999999999982
121,4.52,2.4800000000000466
122,11.74,4.519999999999982
123,6.32,4.069999999999965
124,7.22,4.509999999999934
125,3.61,5.080000000000098
126,4.97,5.1899999999999125
127,7.22,7.340000000000089
128,4.06,11.739999999999924
129,6.32,5.760000000000076
130,14.45,13.319999999999936
131,4.74,5.9900000000000375
132,4.74,3.3899999999999864
133,10.84,2.8199999999999648
134,6.32,5.870000000000033
135,6.32,12.639999999999958
136,11.29,4.969999999999999
137,8.13,3.050000000000068
138,5.87,5.6399999999999295
139,8.58,6.099999999999994
140,8.22,7.790000000000106
141,5.48,6.749999999999972
142,6.85,11.170000000000044
143,8.22,5.759999999999934
144,4.11,5.840000000000032
145,8.67,4.860000000000042
146,5.48,12.86999999999992
147,7.3,9.569999999999936
148,5.48,1.8000000000000682
149,25.11,3.7299999999999045
150,2.74,7.0000000000001705
151,4.11,6.8899999999999295
152,13.24,6.990000000000123
153,9.13,4.069999999999823
154,4.56,5.420000000000016
155,8.67,2.9300000000000637
156,5.02,17.139999999999986
157,6.39,11.399999999999864
158,13.24,7.900000000000205
159,8.22,12.839999999999918
160,8.67,7.57000000000005
161,27.85,5.300000000000011
162,9.55,11.519999999999868
163,7.8,11.17999999999995
164,7.76,3.720000000000141
165,5.02,2.3699999999999477
166,5.93,4.749999999999943
167,5.93,8.240000000000123
168,7.3,13.429999999999893
169,5.93,14.110000000000014
170,7.3,4.380000000000166
171,5.93,6.8899999999999295
172,5.02,9.590000000000032
173,1.83,3.7299999999999045
174,4.56,5.080000000000098
175,3.65,4.060000000000059
176,4.56,6.999999999999886
177,5.48,6.099999999999852
178,5.48,5.980000000000132
179,6.39,10.159999999999911
180,7.76,8.810000000000002
181,7.76,5.529999999999973
182,7.3,7.110000000000127
183,5.02,5.310000000000059
184,7.76,4.629999999999939
185,9.59,6.910000000000025
186,5.48,1.699999999999875
187,3.65,7.110000000000127
188,5.02,5.869999999999891
189,3.2,4.860000000000184
190,9.59,8.689999999999998
191,6.85,4.2900000000000205
192,10.96,7.560000000000002
193,11.87,8.359999999999843
194,3.63,9.590000000000032
195,4.53,14.819999999999993
