name,EK,SK,Confidence
Top,22,22,100
B,150,195,90
C,281,360,80
D,366,453,80
E,498,579,80
Tb,735,804,95
F,796,884,90
G,939,1048,80
H,1071,1190,80
J,1322,1443,80
K,1918,2069,80
