name,EK,SK,Confidence
Top,22,22,100
B,150,148,90
C,281,284,80
D,366,364,80
E,498,484,80
Tb,735,704,95
F,796,779,90
G,939,941,80
H,1071,1071,80
J,1322,1311,80
K,1918,1920,80
