name,EK,SK,Confidence
Top,22,22,100
B,150,156,90
C,281,281,80
D,366,331,80
E,498,421,80
Tb,735,643,95
F,796,719,90
G,939,881,80
H,1071,1012,80
J,1322,1247,80
K,1918,1804,80
