name,EK,SK,Confidence
Top,22,22,100
B,150,120,90
C,281,249,80
D,366,334,80
E,498,464,80
Tb,735,701,95
F,796,780,90
G,939,940,80
H,1071,1076,80
J,1322,1331,80
K,1918,1963,80
