name,EK,SK,Confidence
Top,22,22,100
B,150,145,90
C,281,282,80
D,366,364,80
E,498,489,80
Tb,735,722,95
F,796,801,90
G,939,967,80
H,1071,1104,80
J,1322,1359,80
K,1918,2016,80
