name,EK,SK,Confidence
Top,22,22,100
B,150,158,90
C,281,304,80
D,366,393,80
E,498,518,80
Tb,735,751,95
F,796,827,90
G,939,998,80
H,1071,1143,80
J,1322,1404,80
K,1918,2089,80
