name,EK,SK,Confidence
Top,22,22,100
B,150,176,90
C,281,335,80
D,366,413,80
E,498,527,80
Tb,735,735,95
F,796,809,90
G,939,956,80
H,1071,1076,80
J,1322,1286,80
K,1918,1832,80
