name,EK,SK,Confidence
Top,22,22,100
B,150,124,90
C,281,246,80
D,366,331,80
E,498,452,80
Tb,735,676,95
F,796,753,90
G,939,923,80
H,1071,1067,80
J,1322,1323,80
K,1918,1961,80
