year,EK,SK
22,0.02,0.16131950384772686
23,0.02,0.16131950384772686
24,0.02,0.16131950384772686
25,0.02,0.1590809249945454
26,0.02,0.1590809249945454
27,0.02,0.15789835832522592
28,0.02,0.1590452586566578
29,0.02,0.15787243372908388
30,0.02,0.1567796552516584
31,0.02,0.15730062564875066
32,0.02,0.15563962500227296
33,0.02,0.15923012043914533
34,0.02,0.1575730150210488
35,0.02,0.1575730150210488
36,0.02,0.1596070653693027
37,0.02,0.15264906532717248
38,0.02,0.15181273406045234
39,0.02,0.15061911434980207
40,0.02,0.1478948835039559
41,0.02,0.14546060749447165
42,0.02,0.14559655297946344
43,0.132,0.14536054079257824
44,0.121,0.1441125915047657
45,0.117,0.14632839689496308
46,0.124,0.14351493484629857
47,0.102,0.1408943627878697
48,0.123,0.1416804984774445
49,0.127,0.14117008778284207
50,0.134,0.14011231332945434
51,0.143,0.13861656658607432
52,0.123,0.1398833612728433
53,0.1,0.1398544656503762
54,0.115,0.14076319733986564
55,0.115,0.1438189128106215
56,0.203,0.14296585925703575
57,0.181,0.1434329656006885
58,0.083,0.14328843111698628
59,0.105,0.1420283819794121
60,0.086,0.14006581316773015
61,0.094,0.14146360030545604
62,0.08,0.140730666429048
63,0.081,0.1408156380113747
64,0.087,0.14689381112802255
65,0.103,0.14676756959368903
66,0.104,0.14821415047387532
67,0.093,0.15345879129195303
68,0.099,0.15229185345629512
69,0.108,0.15164509026694573
70,0.103,0.15015607130360292
71,0.095,0.15527166957795516
72,0.108,0.15622815380545102
73,0.086,0.15362510343208416
74,0.1,0.15027955977945945
75,0.092,0.15246076702942032
76,0.102,0.1584353176634963
77,0.094,0.15783055676172822
78,0.079,0.1583363363070975
79,0.12,0.15669764258660862
80,0.122,0.15973118093621538
81,0.099,0.1613126616739913
82,0.112,0.15648987333001893
83,0.121,0.1592417292035367
84,0.108,0.1585628718651709
85,0.124,0.15679083986869466
86,0.133,0.15617370532219113
87,0.129,0.15536542454348712
88,0.117,0.1543741543761067
89,0.135,0.15489766276735703
90,0.105,0.15473304718930894
91,0.138,0.1535124970427656
92,0.122,0.1543741543761067
93,0.128,0.153765655412295
94,0.119,0.16029237586687684
95,0.12,0.16198590573327348
96,0.117,0.16484012639346463
97,0.122,0.16216893537922525
98,0.12,0.1636502243044525
99,0.119,0.1656324496155601
100,0.121,0.16548121165676444
101,0.121,0.16202267698864628
102,0.123,0.16055927096280279
103,0.122,0.1609706936220743
104,0.108,0.16559200515794031
105,0.12,0.1690074154838515
106,0.106,0.17128198118598253
107,0.12,0.17336795733906787
108,0.12,0.17499522236291637
109,0.117,0.17564256793647684
110,0.103,0.17634145225882816
111,0.104,0.17305343076718688
112,0.103,0.17097595915134067
113,0.115,0.16883662883799133
114,0.121,0.17045649114742706
115,0.111,0.16395875706112742
116,0.116,0.16620236381626807
117,0.113,0.1664406432770786
118,0.121,0.16541423444084044
119,0.116,0.1681217436112681
120,0.124,0.166567057325036
121,0.112,0.1662107953851432
122,0.1,0.17046545712309427
123,0.102,0.16917509799212688
124,0.066,0.16301316730655338
125,0.051,0.16301316730655338
126,0.055,0.16301316730655338
127,0.045,0.16295414285979976
128,0.062,0.1670319584405828
129,0.044,0.16617218774682607
130,0.057,0.16128304531903398
131,0.054,0.1613003550696046
132,0.051,0.1571108306669759
133,0.043,0.16004258505512467
134,0.061,0.1626961223763464
135,0.048,0.1624365256329595
136,0.046,0.1625449926509988
137,0.054,0.16637056982180198
138,0.055,0.16805477259768953
139,0.051,0.16576946443177318
140,0.054,0.16393598009622345
141,0.052,0.1622044944787583
142,0.051,0.16063966691850087
143,0.051,0.15765867088602095
144,0.043,0.16046389294212746
145,0.05,0.15473093921480996
146,0.043,0.15179337712120625
147,0.044,0.1514478470766848
148,0.048,0.1516560740559028
149,0.051,0.1512652363774766
150,0.053,0.1516560740559028
151,0.045,0.15275072459520278
152,0.048,0.15169734420948056
153,0.049,0.14856965156832508
154,0.047,0.1487986298833174
155,0.056,0.14877203118519755
156,0.044,0.14650507090481518
157,0.052,0.14532107509670533
158,0.054,0.14410979619892722
159,0.044,0.14528389914502418
160,0.056,0.1451797842651299
