name,EK,SK,Confidence
Top,22,22,100
B,150,165,90
C,281,325,80
D,366,416,80
E,498,541,80
Tb,735,766,95
F,796,845,90
G,939,1016,80
H,1071,1158,80
J,1322,1410,80
K,1918,2014,80
