name,EK,SK,Confidence
Top,22,22,100
B,150,162,90
C,281,313,80
D,366,386,80
E,498,501,80
Tb,735,722,95
F,796,798,90
G,939,953,80
H,1071,1085,80
J,1322,1327,80
K,1918,1941,80
