year,EK,SK
22,0.02,0.1590809249945454
23,0.02,0.1590809249945454
24,0.02,0.15789835832522592
25,0.02,0.1590452586566578
26,0.02,0.15787243372908388
27,0.02,0.15751331424030213
28,0.02,0.15730062564875066
29,0.02,0.15563962500227296
30,0.02,0.15866675222265403
31,0.02,0.15850435325200468
32,0.02,0.1575730150210488
33,0.02,0.1575730150210488
34,0.02,0.15920242566639642
35,0.02,0.15721859865999965
36,0.02,0.15443600472785282
37,0.02,0.15277720009281534
38,0.02,0.15181273406045234
39,0.02,0.15061911434980207
40,0.02,0.14817986951586115
41,0.02,0.14546060749447165
42,0.02,0.14691241195094648
43,0.132,0.14509885551281826
44,0.121,0.1433567384480184
45,0.117,0.14714092908320245
46,0.124,0.14409828860811383
47,0.102,0.14171858736273013
48,0.123,0.14167743407838554
49,0.127,0.14117008778284207
50,0.134,0.14011231332945434
51,0.143,0.13861656658607432
52,0.123,0.1398833612728433
53,0.1,0.13904291012329584
54,0.115,0.14062325990690971
55,0.115,0.14027548452489288
56,0.203,0.14076319733986564
57,0.181,0.1438189128106215
58,0.083,0.14296585925703575
59,0.105,0.1434329656006885
60,0.086,0.14335958223104026
61,0.094,0.14315293039876334
62,0.08,0.14310790737393642
63,0.081,0.1420283819794121
64,0.087,0.14006581316773015
65,0.103,0.14146360030545604
66,0.104,0.1389674904630129
67,0.093,0.140730666429048
68,0.099,0.1408156380113747
69,0.108,0.1449012974892878
70,0.103,0.1464914446146182
71,0.095,0.14676756959368903
72,0.108,0.14797213006364462
73,0.086,0.15189752874047527
74,0.1,0.15229185345629512
75,0.092,0.154671176141201
76,0.102,0.15164509026694573
77,0.094,0.15015607130360292
78,0.079,0.15095596607272002
79,0.12,0.15527166957795516
80,0.122,0.15622815380545102
81,0.099,0.1521741060018468
82,0.112,0.15027955977945945
83,0.121,0.15305101408065908
84,0.108,0.1584353176634963
85,0.124,0.15783055676172822
86,0.133,0.1583363363070975
87,0.129,0.15616794547785826
