name,EK,SK,Confidence
Top,22,22,100
B,150,154,90
C,281,291,80
D,366,369,80
E,498,467,80
Tb,735,667,95
F,796,738,90
G,939,893,80
H,1071,1020,80
J,1322,1239,80
K,1918,1770,80
