name,EK,SK,Confidence
Top,22,22,100
B,150,135,90
C,281,261,80
D,366,351,80
E,498,473,80
Tb,735,685,95
F,796,763,90
G,939,923,80
H,1071,1059,80
J,1322,1302,80
K,1918,1918,80
