year,EK,SK
22,0.02,0.15787243372908388
23,0.02,0.15787243372908388
24,0.02,0.15787243372908388
25,0.02,0.15787243372908388
26,0.02,0.15730062564875066
27,0.02,0.15730062564875066
28,0.02,0.15563962500227296
29,0.02,0.15754489567535634
30,0.02,0.15923012043914533
31,0.02,0.1575730150210488
32,0.02,0.1575730150210488
33,0.02,0.15770738858761432
34,0.02,0.15971843115872267
35,0.02,0.15726923884821334
36,0.02,0.15443600472785282
37,0.02,0.15316604916311788
38,0.02,0.15181273406045234
39,0.02,0.15061911434980207
40,0.02,0.14817540010257976
41,0.02,0.14546060749447165
42,0.02,0.14705148775535476
43,0.132,0.14536054079257824
44,0.121,0.14370946160660697
45,0.117,0.14690841508811514
46,0.124,0.14351493484629857
47,0.102,0.14171858736273013
48,0.123,0.1416804984774445
49,0.127,0.14117008778284207
50,0.134,0.1401444610304454
51,0.143,0.13861656658607432
52,0.123,0.1398833612728433
53,0.1,0.13904291012329584
54,0.115,0.1412298934786891
55,0.115,0.14021798383962802
56,0.203,0.14015319851337815
57,0.181,0.1438189128106215
58,0.083,0.14296585925703575
59,0.105,0.1434329656006885
60,0.086,0.14315293039876334
61,0.094,0.1420283819794121
62,0.08,0.14006581316773015
63,0.081,0.14146360030545604
64,0.087,0.1389674904630129
65,0.103,0.140730666429048
66,0.104,0.1408156380113747
67,0.093,0.14588679671889088
68,0.099,0.1464914446146182
69,0.108,0.14676756959368903
70,0.103,0.14821415047387532
71,0.095,0.15079984799583926
72,0.108,0.15229185345629512
73,0.086,0.15484950334291636
74,0.1,0.15164509026694573
75,0.092,0.15015607130360292
76,0.102,0.15527166957795516
77,0.094,0.15622815380545102
78,0.079,0.1521741060018468
79,0.12,0.15027955977945945
80,0.122,0.15238018509740014
81,0.099,0.1584353176634963
82,0.112,0.15783055676172822
83,0.121,0.1583363363070975
84,0.108,0.15616794547785826
85,0.124,0.15973118093621538
86,0.133,0.1610601171164935
87,0.129,0.15648987333001893
88,0.117,0.15974382511716875
89,0.135,0.1592417292035367
90,0.105,0.1585628718651709
91,0.138,0.1585628718651709
92,0.122,0.15679083986869466
93,0.128,0.15583781440020114
94,0.119,0.15536542454348712
95,0.12,0.1543741543761067
96,0.117,0.15489766276735703
97,0.122,0.15489766276735703
98,0.12,0.1535124970427656
99,0.119,0.1543741543761067
100,0.121,0.153765655412295
101,0.121,0.16029237586687684
102,0.123,0.16029237586687684
103,0.122,0.16198590573327348
104,0.108,0.1660318189005828
105,0.12,0.1620018833732903
106,0.106,0.1636502243044525
107,0.12,0.1656324496155601
108,0.12,0.16548121165676444
109,0.117,0.16261569638461187
110,0.103,0.16055927096280279
111,0.104,0.1609706936220743
112,0.103,0.16559200515794031
113,0.115,0.16709719699221184
114,0.121,0.1690074154838515
115,0.111,0.17128198118598253
116,0.116,0.17336795733906787
117,0.113,0.17499522236291637
118,0.121,0.17499219029068475
119,0.116,0.17634145225882816
120,0.124,0.17305343076718688
121,0.112,0.17097595915134067
122,0.1,0.16883662883799133
123,0.102,0.17045649114742706
124,0.066,0.16395875706112742
125,0.051,0.16620236381626807
126,0.055,0.1654386085347961
127,0.045,0.16541423444084044
128,0.062,0.16958810694196935
129,0.044,0.16754912484721085
130,0.057,0.16737787562183337
131,0.054,0.16643067703451753
132,0.051,0.17060076153187592
133,0.043,0.16917509799212688
134,0.061,0.16648686649011202
135,0.048,0.16301316730655338
136,0.046,0.16301316730655338
137,0.054,0.16301316730655338
138,0.055,0.16327101682466166
139,0.051,0.1670319584405828
140,0.054,0.16649706039211282
141,0.052,0.16125731094849033
142,0.051,0.1613003550696046
143,0.051,0.1571108306669759
144,0.043,0.16004258505512467
145,0.05,0.1626961223763464
146,0.043,0.1624365256329595
147,0.044,0.1625449926509988
148,0.048,0.16637056982180198
149,0.051,0.1676172006716667
150,0.053,0.16576946443177318
151,0.045,0.16493406464384455
152,0.048,0.1646979251517391
153,0.049,0.1622044944787583
154,0.047,0.16063966691850087
155,0.056,0.15765867088602095
156,0.044,0.15964417644573897
157,0.052,0.1553007362342743
158,0.054,0.15249292484606233
159,0.044,0.15159755335036967
160,0.056,0.1516560740559028
161,0.052,0.1512652363774766
162,0.049,0.1516560740559028
163,0.054,0.15232979713584976
164,0.054,0.15169734420948056
165,0.045,0.14856965156832508
166,0.136,0.1487986298833174
167,0.189,0.14912593637153237
168,0.184,0.14650507090481518
169,0.152,0.14532107509670533
170,0.167,0.14381836735089368
171,0.151,0.14528389914502418
172,0.168,0.1451797842651299
173,0.147,0.1432041921935586
174,0.16,0.1421888642426032
175,0.158,0.1418021064929376
176,0.175,0.1388396164558896
177,0.143,0.1404489335276659
178,0.151,0.14026969396952038
179,0.062,0.13934059992226275
180,0.055,0.14126411481509482
181,0.056,0.14109278980609175
182,0.054,0.1393535095279187
183,0.047,0.14001717357621435
184,0.06,0.1398066775177925
185,0.055,0.14089208730843328
