Events,Duration,lake,source
EK-EQ0 to EK-EQ2,147.46600504290618,Eklutna,Intraplate
EK-EQ2 to EK-EQ9,969.0129868633879,Eklutna,Intraplate
EK-EQ9 to EK-EQ11,50.23880748504439,Eklutna,Intraplate
EK-EQ11 to EK-EQ12,96.82267662729964,Eklutna,Intraplate
EK-EQ12 to EK-EQ15,550.7570056627071,Eklutna,Intraplate
EK-EQ15 to EK-EQ16,81.30113643979894,Eklutna,Intraplate
EK-EQ16 to EK-EQ18,235.7506591334236,Eklutna,Intraplate
EK-EQ18 to EK-EQ19,65.67974480291105,Eklutna,Intraplate
EK-EQ19 to EK-EQ21,NA,Eklutna,Intraplate
EK-EQ0 to EK-EQ2,146.46600504290615,Eklutna,Intraplate
EK-EQ2 to EK-EQ9,935.0129868633876,Eklutna,Intraplate
EK-EQ9 to EK-EQ11,54.238807485043594,Eklutna,Intraplate
EK-EQ11 to EK-EQ12,103.82267662729896,Eklutna,Intraplate
EK-EQ12 to EK-EQ15,552.757005662708,Eklutna,Intraplate
EK-EQ15 to EK-EQ16,81.30113643979803,Eklutna,Intraplate
EK-EQ16 to EK-EQ18,235.75065913342405,Eklutna,Intraplate
EK-EQ18 to EK-EQ19,65.67974480291105,Eklutna,Intraplate
EK-EQ19 to EK-EQ21,NA,Eklutna,Intraplate
EK-EQ0 to EK-EQ2,148.46600504290615,Eklutna,Intraplate
EK-EQ2 to EK-EQ9,933.0129868633871,Eklutna,Intraplate
EK-EQ9 to EK-EQ11,46.23880748504325,Eklutna,Intraplate
EK-EQ11 to EK-EQ12,96.82267662729873,Eklutna,Intraplate
EK-EQ12 to EK-EQ15,559.7570056627058,Eklutna,Intraplate
EK-EQ15 to EK-EQ16,91.89975456092611,Eklutna,Intraplate
EK-EQ16 to EK-EQ18,234.1520410122912,Eklutna,Intraplate
EK-EQ18 to EK-EQ19,65.67974480290559,Eklutna,Intraplate
EK-EQ19 to EK-EQ21,NA,Eklutna,Intraplate
EK-EQ0 to EK-EQ2,147.46600504290615,Eklutna,Intraplate
EK-EQ2 to EK-EQ9,977.0129868633876,Eklutna,Intraplate
EK-EQ9 to EK-EQ11,52.23880748504371,Eklutna,Intraplate
EK-EQ11 to EK-EQ12,105.82267662729942,Eklutna,Intraplate
EK-EQ12 to EK-EQ15,568.0544873440499,Eklutna,Intraplate
EK-EQ15 to EK-EQ16,92.00365475845047,Eklutna,Intraplate
EK-EQ16 to EK-EQ18,239.75065913342382,Eklutna,Intraplate
EK-EQ18 to EK-EQ19,65.67974480290695,Eklutna,Intraplate
EK-EQ19 to EK-EQ21,NA,Eklutna,Intraplate
EK-EQ0 to EK-EQ2,145.73300252145307,Eklutna,Intraplate
EK-EQ2 to EK-EQ9,982.7459893848395,Eklutna,Intraplate
EK-EQ9 to EK-EQ11,51.238807485043935,Eklutna,Intraplate
EK-EQ11 to EK-EQ12,96.82267662729919,Eklutna,Intraplate
EK-EQ12 to EK-EQ15,552.7570056627085,Eklutna,Intraplate
EK-EQ15 to EK-EQ16,77.30113643979485,Eklutna,Intraplate
EK-EQ16 to EK-EQ18,237.7506591334252,Eklutna,Intraplate
EK-EQ18 to EK-EQ19,65.67974480290877,Eklutna,Intraplate
EK-EQ19 to EK-EQ21,NA,Eklutna,Intraplate
EK-EQ0 to EK-EQ2,149.46600504290618,Eklutna,Intraplate
EK-EQ2 to EK-EQ9,954.4000864514122,Eklutna,Intraplate
EK-EQ9 to EK-EQ11,48.85170789701806,Eklutna,Intraplate
EK-EQ11 to EK-EQ12,101.82267662729964,Eklutna,Intraplate
EK-EQ12 to EK-EQ15,565.757005662708,Eklutna,Intraplate
EK-EQ15 to EK-EQ16,85.30113643979439,Eklutna,Intraplate
EK-EQ16 to EK-EQ18,237.75065913342428,Eklutna,Intraplate
EK-EQ18 to EK-EQ19,65.67974480290877,Eklutna,Intraplate
EK-EQ19 to EK-EQ21,NA,Eklutna,Intraplate
EK-EQ0 to EK-EQ2,150.46600504290618,Eklutna,Intraplate
EK-EQ2 to EK-EQ9,982.0129868633873,Eklutna,Intraplate
EK-EQ9 to EK-EQ11,55.238807485043935,Eklutna,Intraplate
EK-EQ11 to EK-EQ12,98.82267662729919,Eklutna,Intraplate
EK-EQ12 to EK-EQ15,564.0544873440508,Eklutna,Intraplate
EK-EQ15 to EK-EQ16,82.00365475845456,Eklutna,Intraplate
EK-EQ16 to EK-EQ18,235.75065913342314,Eklutna,Intraplate
EK-EQ18 to EK-EQ19,65.67974480290968,Eklutna,Intraplate
EK-EQ19 to EK-EQ21,NA,Eklutna,Intraplate
EK-EQ0 to EK-EQ2,139.46600504290618,Eklutna,Intraplate
EK-EQ2 to EK-EQ9,953.0129868633845,Eklutna,Intraplate
EK-EQ9 to EK-EQ11,53.238807485043026,Eklutna,Intraplate
EK-EQ11 to EK-EQ12,99.82267662729964,Eklutna,Intraplate
EK-EQ12 to EK-EQ15,551.7570056627094,Eklutna,Intraplate
EK-EQ15 to EK-EQ16,78.30113643979507,Eklutna,Intraplate
EK-EQ16 to EK-EQ18,231.75065913342428,Eklutna,Intraplate
EK-EQ18 to EK-EQ19,65.67974480290763,Eklutna,Intraplate
EK-EQ19 to EK-EQ21,NA,Eklutna,Intraplate
EK-EQ0 to EK-EQ2,149.4660050429062,Eklutna,Intraplate
EK-EQ2 to EK-EQ9,997.0129868633886,Eklutna,Intraplate
EK-EQ9 to EK-EQ11,46.8083368165851,Eklutna,Intraplate
EK-EQ11 to EK-EQ12,100.25314729575871,Eklutna,Intraplate
EK-EQ12 to EK-EQ15,565.0544873440497,Eklutna,Intraplate
EK-EQ15 to EK-EQ16,84.68427281006348,Eklutna,Intraplate
EK-EQ16 to EK-EQ18,234.0700410818115,Eklutna,Intraplate
EK-EQ18 to EK-EQ19,65.67974480290832,Eklutna,Intraplate
EK-EQ19 to EK-EQ21,NA,Eklutna,Intraplate
EK-EQ0 to EK-EQ2,148.93201008581235,Eklutna,Intraplate
EK-EQ2 to EK-EQ9,968.5469818204805,Eklutna,Intraplate
EK-EQ9 to EK-EQ11,51.23880748504325,Eklutna,Intraplate
EK-EQ11 to EK-EQ12,103.22283936221515,Eklutna,Intraplate
EK-EQ12 to EK-EQ15,556.3568429277918,Eklutna,Intraplate
EK-EQ15 to EK-EQ16,80.30113643979485,Eklutna,Intraplate
EK-EQ16 to EK-EQ18,234.75065913342632,Eklutna,Intraplate
EK-EQ18 to EK-EQ19,65.67974480290877,Eklutna,Intraplate
EK-EQ19 to EK-EQ21,NA,Eklutna,Intraplate
EK-EQ0 to EK-EQ2,145.93201008581235,Eklutna,Intraplate
EK-EQ2 to EK-EQ9,964.5469818204809,Eklutna,Intraplate
EK-EQ9 to EK-EQ11,52.23880748504371,Eklutna,Intraplate
EK-EQ11 to EK-EQ12,100.82267662729919,Eklutna,Intraplate
EK-EQ12 to EK-EQ15,558.757005662706,Eklutna,Intraplate
EK-EQ15 to EK-EQ16,78.301136439795755,Eklutna,Intraplate
EK-EQ16 to EK-EQ18,241.7506591334245,Eklutna,Intraplate
EK-EQ18 to EK-EQ19,65.67974480290832,Eklutna,Intraplate
EK-EQ19 to EK-EQ21,NA,Eklutna,Intraplate
EK-EQ0 to EK-EQ2,149.46600504290615,Eklutna,Intraplate
EK-EQ2 to EK-EQ9,960.0129868633867,Eklutna,Intraplate
EK-EQ9 to EK-EQ11,52.23880748504325,Eklutna,Intraplate
EK-EQ11 to EK-EQ12,104.82267662730032,Eklutna,Intraplate
EK-EQ12 to EK-EQ15,560.7570056627051,Eklutna,Intraplate
EK-EQ15 to EK-EQ16,82.8997545609277,Eklutna,Intraplate
EK-EQ16 to EK-EQ18,239.15204101229142,Eklutna,Intraplate
EK-EQ18 to EK-EQ19,65.6797448029065,Eklutna,Intraplate
EK-EQ19 to EK-EQ21,NA,Eklutna,Intraplate
EK-EQ0 to EK-EQ2,146.73300252145307,Eklutna,Intraplate
EK-EQ2 to EK-EQ9,966.1330889728661,Eklutna,Intraplate
EK-EQ9 to EK-EQ11,50.85170789701988,Eklutna,Intraplate
EK-EQ11 to EK-EQ12,94.22283936221265,Eklutna,Intraplate
EK-EQ12 to EK-EQ15,542.3568429277934,Eklutna,Intraplate
EK-EQ15 to EK-EQ16,81.30113643979871,Eklutna,Intraplate
EK-EQ16 to EK-EQ18,235.7506591334236,Eklutna,Intraplate
EK-EQ18 to EK-EQ19,65.67974480291105,Eklutna,Intraplate
EK-EQ19 to EK-EQ21,NA,Eklutna,Intraplate
EK-EQ0 to EK-EQ2,144.46600504290618,Eklutna,Intraplate
EK-EQ2 to EK-EQ9,976.0129868633854,Eklutna,Intraplate
EK-EQ9 to EK-EQ11,46.379907789375466,Eklutna,Intraplate
EK-EQ11 to EK-EQ12,98.68157632296698,Eklutna,Intraplate
EK-EQ12 to EK-EQ15,557.7570056627087,Eklutna,Intraplate
EK-EQ15 to EK-EQ16,84.30113643979507,Eklutna,Intraplate
EK-EQ16 to EK-EQ18,246.7506591334245,Eklutna,Intraplate
EK-EQ18 to EK-EQ19,65.67974480290741,Eklutna,Intraplate
EK-EQ19 to EK-EQ21,NA,Eklutna,Intraplate
EK-EQ0 to EK-EQ2,147.46600504290612,Eklutna,Intraplate
EK-EQ2 to EK-EQ9,941.4919787696799,Eklutna,Intraplate
EK-EQ9 to EK-EQ11,55.759815578751386,Eklutna,Intraplate
EK-EQ11 to EK-EQ12,100.82267662729896,Eklutna,Intraplate
EK-EQ12 to EK-EQ15,547.7570056627076,Eklutna,Intraplate
