event,counters,lake,medianAge,2.5%,25%,75%,97.5%
1916 flood,all,Eklutna,33.219026548672574,30.219026548672577,33.219026548672574,34.219026548672574,37.438053097345154
1916 flood,historically constrained,Eklutna,33.219026548672574,32.219026548672574,33.219026548672574,34.07826086956522,35.219026548672574
EK-EQ10,all,Eklutna,1074.8615188174945,992.861518817489,1050.9933447658354,1099.8615188174945,1159.861518817497
EK-EQ10,historically constrained,Eklutna,1059.7922782262426,1023.0781626962691,1045.8615188174963,1074.0150929531264,1099.8648144662045
EK-EQ11,all,Eklutna,1104.2514126325177,1020.7177993913358,1080.4355987826743,1129.7177993913365,1189.717799391337
EK-EQ11,historically constrained,Eklutna,1088.7177993913392,1050.6963268989457,1074.7177993913374,1103.7177993913392,1130.7177993913372
EK-EQ12,all,Eklutna,1204.5404760186361,1113.9406387535514,1178.5404760186384,1230.5404760186377,1291.5404760186348
EK-EQ12,historically constrained,Eklutna,1189.5404760186366,1143.1803224534908,1173.540476018637,1205.5404760186352,1234.092440136809
EK-EQ13,all,Eklutna,1322.51673537835,1221.1657563676868,1294.5167353783484,1349.516735378352,1410.5167353783497
EK-EQ13,historically constrained,Eklutna,1307.3439605000874,1246.0205523722402,1289.51673537835,1323.5167353783506,1355.5167353783493
EK-EQ14,all,Eklutna,1570.8451128530196,1445.9810729546134,1536.8451128530226,1601.8451128530178,1663.8451128530244
EK-EQ14,historically constrained,Eklutna,1555.8451128530216,1467.7959708030148,1532.8451128530196,1574.8451128530187,1618.8451128530203
EK-EQ15,all,Eklutna,1758.297481681344,1611.2974816813432,1720.830398585623,1791.2974816813448,1859.8303985856219
EK-EQ15,historically constrained,Eklutna,1743.2974816813446,1624.8170756630168,1715.1807109074116,1764.2974816813428,1820.2974816813428
EK-EQ16,all,Eklutna,1840.5986181211342,1681.5986181211408,1801.5986181211365,1874.5986181211351,1945.1972362422603
EK-EQ16,historically constrained,Eklutna,1824.5986181211433,1692.799293782942,1795.59861812114,1846.598618121135,1906.6236181211355
EK-EQ17,all,Eklutna,1921.7043281644135,1752.7043281644046,1881.704328164408,1956.7043281644155,2030.7043281643992
