Events,source,lake,medianDuration,2.5%,25%,75%,97.5%
SK-EQ15_5 to SK-EQ15_6,Intraplate,Skilak,9.926337485103943,6.8870313125646705,8.981766467469072,10.24200802123184,12.049242860442845
SK-EQ15_6 to GL10,Intraplate,Skilak,156.58747758064453,141.53468605779574,151.9083362353683,161.58736465717277,171.9931496690762
GL10 to SK-EQ17_2,Intraplate,Skilak,94.43025865173433,81.3122682748244,90.69191040551152,98.07055466042362,106.16800041862477
SK-EQ17_2 to SK-EQ19_2,Intraplate,Skilak,210.48613976105844,184.9888857368156,205.03957759475497,215.96660002757056,227.0689376267113
SK-EQ2 to SK-EQ7,Megathrust,Skilak,163.0074503311258,157.0326662780839,161.01711883639362,164.94262838701087,168.00393541147474
SK-EQ7 to SK-EQ8,Megathrust,Skilak,13.093184092790267,8.868923330246824,11.72808046554941,15.050879502346376,18.958571562989448
SK-EQ8 to SK-EQ9,Megathrust,Skilak,119.97699038323738,106.37531623655586,115.11846066410263,123.99426008917717,134.98756883801877
SK-EQ9 to SK-EQ10,Megathrust,Skilak,81.63743281925346,62.898452468467745,76.64028736725678,85.2492247004369,93.9346152596239
SK-EQ10 to SK-EQ11,Megathrust,Skilak,123.98756227137238,101.09025354277699,118.0404909587668,128.04628572469096,137.0065797569474
SK-EQ11 to SK-EQ13,Megathrust,Skilak,66.98500529557816,56.95225104438411,63.77370471938926,70.51673175596746,75.9549960962208
SK-EQ13 to SK-EQ15,Megathrust,Skilak,225.30205952422807,202.93359766885652,218.8012686163226,231.8762383731825,244.9963506420433
SK-EQ15 to SK-EQ16,Megathrust,Skilak,152.04044075939976,130.8512157646015,146.02947964423802,158.96884432802844,172.04118264366818
SK-EQ16 to SK-EQ17,Megathrust,Skilak,132.281714809115,119.16275349076615,128.6989466006391,135.4573486611024,146.2894509686671
SK-EQ17 to SK-EQ18,Megathrust,Skilak,141.45348193393465,122.76896658404075,136.66218728967306,146.10089240091446,155.7848934484118
SK-EQ18 to SK-EQ19,Megathrust,Skilak,102.87858130714415,85.08085078504502,98.26859772343727,106.9989850087893,114.01411547297506
