Events,source,lake,medianDuration,2.5%,25%,75%,97.5%
EK-EQ0 to EK-EQ2,Intraplate,Eklutna,148.46600504290615,142.46600504290618,146.46600504290615,149.7330025214531,154.46600504290615
EK-EQ2 to EK-EQ9,Intraplate,Eklutna,957.0129868633883,921.0129868633871,943.6910966615525,971.012986863387,996.0171528894831
EK-EQ9 to EK-EQ11,Intraplate,Eklutna,52.238807485043026,44.12205105964208,49.23880748504439,54.23880748504283,58.23880748504417
EK-EQ11 to EK-EQ12,Intraplate,Eklutna,100.82267662729896,85.81118852776441,97.08613831828552,102.82267662730078,108.68510383057615
EK-EQ12 to EK-EQ15,Intraplate,Eklutna,552.757005662708,461.6275873763459,540.7570056627087,561.7570056627096,599.8276315077221
EK-EQ15 to EK-EQ16,Intraplate,Eklutna,81.30113643979735,65.39947310766543,78.22987356635417,83.3011364397965,92.01109180048641
EK-EQ16 to EK-EQ18,Intraplate,Eklutna,235.7506591334245,224.75065913342524,234.15545208468973,237.75065913342667,246.00065913342416
EK-EQ18 to EK-EQ19,Intraplate,Eklutna,65.67974480290877,65.67974480290468,65.67974480290695,65.67974480291014,65.67974480291105
EK-EQ19 to EK-EQ21,Intraplate,Eklutna,192.35181655173483,192.35181655173346,192.35181655173437,192.35181655173574,192.3518165517371
EK-EQ1 to EK-EQ3,Megathrust,Eklutna,162.68557466287305,156.3711493257463,160.68557466287305,164.68557466287305,171.68557466287308
EK-EQ3 to EK-EQ4,Megathrust,Eklutna,132.68492423674243,119.99148894044146,128.6849242367425,136.68492423674238,147.99956274458543
EK-EQ4 to EK-EQ5,Megathrust,Eklutna,82.20121989229179,62.01597044248399,78.01597044248427,85.64547154286876,92.01597044248393
EK-EQ5 to EK-EQ6,Megathrust,Eklutna,124.1114878261618,100.314059466611,118.1114878261614,129.1114878261618,138.11427502181584
EK-EQ6 to EK-EQ7,Megathrust,Eklutna,291.8936727567546,265.3518651370963,283.64469417262507,299.7873455135092,316.8123455135096
EK-EQ7 to EK-EQ8,Megathrust,Eklutna,150.81536113387057,131.012810861591,144.35919716816656,157.36681125872335,172.19726983912827
EK-EQ8 to EK-EQ10,Megathrust,Eklutna,131.38251258011815,119.20981731380152,128.3825125801161,135.3825125801158,145.39207539461793
EK-EQ10 to EK-EQ13,Megathrust,Eklutna,247.7244571521112,212.25655215547377,240.6552165608568,252.65521656085662,263.65521656085707
EK-EQ13 to EK-EQ14,Megathrust,Eklutna,247.3283774746701,201.44426842204206,242.32837747466806,254.17349032768396,276.1773625063633
EK-EQ14 to EK-EQ17,Megathrust,Eklutna,348.8592153113957,281.701302036897,341.85921531139127,356.85921531138695,385.85921531138456
EK-EQ17 to EK-EQ20,Megathrust,Eklutna,344.57398471121996,344.29186429230117,344.5739847112179,344.57398471122156,344.869656546814
SK-EQ0 to SK-EQ1,Intraplate,Skilak,52,52,52,52,52
SK-EQ1 to SK-EQ3,Intraplate,Skilak,12,12,12,12,12
SK-EQ3 to SK-EQ4,Intraplate,Skilak,41.921302578018995,39.35087162184479,40.921302578018995,42.921302578018995,44.38720538720539
SK-EQ4 to SK-EQ5,Intraplate,Skilak,24.661568908593807,18.54667812272156,22.57882311509542,26.660415516493067,30.314774558892566
SK-EQ5 to SK-EQ6,Intraplate,Skilak,41.235707486611396,32.98089069014345,37.99921652248095,44.525307761038405,50.01532619112326
SK-EQ6 to SK-EQ8_2,Intraplate,Skilak,162.72188223085442,148.18255720387003,157.5911414880258,168.57408314258183,182.87868049044482
SK-EQ8_2 to SK-EQ10_2,Intraplate,Skilak,193.51941695358886,163.3737851998755,185.48578298981005,199.62238946828876,211.5231295093657
SK-EQ10_2 to SK-EQ12,Intraplate,Skilak,39.671223704129574,31.866886136515273,37.06445708987492,42.252445577633154,47.85500924024472
SK-EQ12 to SK-EQ13_2,Intraplate,Skilak,149.53424774870794,130.37338432232895,143.632498205583,154.8576478819419,163.2852077105309
SK-EQ13_2 to SK-EQ14,Intraplate,Skilak,56.71849831873294,49.56422864276703,53.96064206376349,59.091574807260514,65.5754625247359
SK-EQ14 to SK-EQ15_2,Intraplate,Skilak,92.15876375952524,74.15123372867326,86.40541923682821,97.41757841871026,107.15836998862837
SK-EQ15_2 to SK-EQ15_3,Intraplate,Skilak,16.8668392099799,12.985864463478324,15.357460786717638,17.992493849981003,20.038639776452445
SK-EQ15_3 to SK-EQ15_4,Intraplate,Skilak,11.737794020982392,8.717474539315692,10.89002517740525,12.619241117095157,14.574883621360438
SK-EQ15_4 to SK-EQ15_5,Intraplate,Skilak,45.596812749785784,37.72624918542951,43.0785465952971,47.947146459066516,52.73347408618426
