depth (cm),age (yr BP) 2.5%,age (yr BP) 50%,age (yr BP) 97.5%
100,87.70637119113574,93.70637119113583,100.70637119113574
101,89.51973051010586,95.51973051010584,102.25986525505294
102,90.73865147039076,96.4842286802781,103.34121122599706
103,93.29673848299925,99.07421875000001,106.07421875000001
104,94.49233390119252,100.49233390119252,107.49233390119252
105,95.48581314878894,101.63435039370079,108.48581314878894
106,96.33463541666667,102.33463541666669,109.33463541666667
107,98.08329321136254,104.08329321136254,111.08329321136254
108,98.564756860857,104.56475686085702,111.564756860857
109,99.15189873417722,105.15189873417725,112.15189873417722
110,101.14285714285717,107.28571428571426,114.14285714285715
111,103.5719557195572,109.57195571955725,116.57195571955722
112,105.16066481994457,111.16066481994461,118.16066481994461
113,107.34241908006808,113.34241908006818,120.34241908006818
114,109.32915154739409,116.11772853185599,123.2575138504155
115,111.53618906942394,117.53618906942397,125.38291139240506
116,113.91814159292034,119.91814159292038,126.97305727426284
117,114.53322259136212,120.82027257240206,127.83809632287605
118,115.57902250232206,122.21745152354572,130.21745152354572
119,117.29778672032202,124.148893360161,132.148893360161
120,119.79197787125987,125.79916897506926,133.79916897506925
121,120.82086801236557,127.7104430379747,135.7104430379747
122,121.69433475551142,128.56539792387542,136.56539792387545
123,122.94279638656737,129.78481012658227,137.7848101265823
124,124.39114391143912,131.39114391143912,139.39114391143912
125,126.06249999999991,132.5379746835443,140.5379746835443
126,127.06731620903454,134.06731620903454,142.06731620903454
127,127.95305580159433,134.95305580159433,142.95305580159433
128,129.2282793867121,136.22827938671207,144.2282793867121
129,131.25912004661998,137.63752913752913,145.63752913752913
130,131.91876748783454,138.838199513382,146.85915450121655
131,133.46569343065693,140.46569343065693,149.46569343065684
132,134.87264985622647,141.77128953771287,150.77128953771285
133,136.4625144175317,143.4625144175317,152.4625144175317
134,137.97445255474452,144.97445255474452,153.97445255474452
135,139.46715328467153,146.46715328467147,155.46715328467153
136,140.28195937873357,147.28195937873357,156.28195937873357
137,140.68020708880923,147.68020708880923,156.68020708880923
138,142.4379562043796,148.71897810218968,157.71897810218968
139,144.38276122396334,150.38670694864047,159.38670694864044
140,145.12579098356775,151.20591456736034,160.1390412169963
141,146.20614035087706,152.60307017543857,161.21774115347893
142,147.94463667820065,153.94463667820068,162.94463667820068
143,149.22754943108183,155.70422535211264,164.70422535211264
144,149.73866530820175,156.61253776435044,165.61253776435044
145,151.170103406326,157.59245742092457,166.59245742092457
146,152.17171502145732,158.76701268742792,167.7746355681605
147,152.5701411316885,159.28653500897667,168.28893742527003
148,153.27716622897665,159.6456014362657,168.64679478547635
149,153.7301057619621,160.01361256544502,169.01361256544502
150,154.40342493030664,161.07435897435897,170.07621794871793
151,155.35824742268042,162.35824742268042,171.36361370709625
152,157,164,173.02499999999998
153,158.88864442388692,165.68634064080948,175.06921634572078
154,160.141652613828,167.141652613828,176.14519392917376
155,161.6699317213372,168.67260273972605,177.6772479792898
156,162.6949771689498,170.33466135458173,179.71096927359054
157,165.5830550248613,173.14794520547937,182.5990923298121
158,168.17223925803296,175.5592783505154,184.7627281021898
159,169.1721439749609,177.17214397496093,187.1721439749609
160,170.60695876288662,178.60695876288665,188.6069587628866
161,171.89561855670104,179.89561855670107,189.89561855670104
162,173.37649402390437,181.37649402390448,191.37649402390443
163,174.88530927835052,182.88530927835055,192.88530927835052
164,175.94994786235662,183.94994786235668,193.94994786235665
165,178.07768924302786,186.15537848605572,196.07768924302798
166,180.22627737226276,188.41985926505083,198.22627737226279
167,181.3766423357664,189.7402676399027,199.3766423357665
168,182.516014602137,190.8603769860212,200.52281021897812
169,183.40185341196292,191.68900569426194,201.40903221902045
170,184.79889807162527,192.95290322580644,202.81887052341622
171,186.55052264808361,194.7054794520548,205.1122822299652
172,188.10274505234983,196.23429541595934,207.11714770797965
173,189.24439531057183,197.7058823529412,208.26057178116002
174,189.8439534188474,198.7961269499731,208.80398112916498
175,191.0588235294118,201.02714164546225,211.05882352941174
176,192.7685039370079,202.5370078740158,212.7685039370079
177,194.98233995584994,204.96467991169973,214.98233995584994
178,196.29881154499154,206.29881154499142,216.29881154499148
179,197.71936274509807,207.71936274509798,217.31857492997202
180,198.70863970588238,208.56295955882354,218.42456341911782
181,199.6277573529412,209.3863122171946,219.62775735294113
182,200.87500000000003,210.45247148288973,220.87499999999991
183,202.29411764705887,211.5882352941177,222.29411764705875
184,203.8039215686275,213.60784313725497,223.8039215686274
185,205.14285714285714,214.55241312444366,225.1428571428571
186,206.2124248496994,216.08060836501897,226.21242484969935
187,207.74387254901956,217.54134430802992,227.74387254901956
188,208.72446486928095,219.20949957591176,229.72647058823517
189,210.26913827655292,221.0365788058096,231.43949162445398
190,211.83020814875178,222.30607853684776,233.41838235294117
191,212.8438439816696,223.20038350910835,234.4188376753507
192,214.3980795507179,225.19851911893358,236.26141732283463
193,215.90152801358232,226.7398913333733,237.90152801358232
194,217.81433823529412,228.81433823529386,239.81433823529423
195,219.21323529411768,230.2132352941175,241.21323529411768
196,220.7902869757175,231.58057395143493,242.7902869757176
197,222.49632352941182,233.49632352941148,245.49632352941168
198,223.76260504201682,234.76260504201673,246.76260504201682
199,224.81302521008405,235.81302521008394,247.81302521008405
200,226.23774509803928,237.2377450980391,249.47549019607803
201,228.1082164328658,239.10821643286573,252.1082164328658
202,230.76096264367817,241.58333333333331,254.4739424165252
203,232.3200339558574,243.32003395585738,255.65706706281833
204,233.4392935982341,244.43929359823397,257.43929359823386
205,234.9675745784695,245.96757457846948,258.96757457846957
206,236.50084889643472,247.5008488964346,260.50084889643466
207,238.04414261460104,249.04414261460104,262.04414261460107
208,239.875751503006,250.875751503006,263.87743308307796
209,242.10466961031676,253.10620689655173,266.23475862068966
210,243.34986109591966,254.35305917753263,268.3530591775325
211,244.30211242739347,255.62665489849957,269.2065792240896
212,245.62491868408014,257.3264705882353,270.6697794117647
213,246.70298313878095,258.70298313878084,272.6016186961166
214,248.15449915110366,260.1544991511036,274.1544991511035
215,249.009681372549,261.0049019607843,275.00490196078425
216,250.58472440944888,262.296062992126,276.2960629921259
217,252.50644827586189,263.7627586206897,277.76275862068957
218,253.3224863368263,264.7028862478778,278.7028862478777
219,253.74116661723414,265.5122143420016,279.5122143420016
220,254.76352705410824,266.76352705410824,280.7635270541081
221,256.52827586206894,268.528275862069,283.52827586206894
222,257.96764705882356,269.96764705882356,284.9676470588235
223,261.0250344548814,273.1441176470589,288.2882352941175
224,261.78275589671034,274.7111334002006,290.71113340020054
225,263.1221434200157,276.12214342001585,291.57509850275795
226,265.504244482173,278.5042444821733,294.50424448217353
227,266.51616802659413,279.5161680265942,295.2645361136295
228,267.12058023572075,280.12058023572075,296.1205802357207
229,267.7249924448474,280.7249924448474,296.7249924448474
230,269.0921843687375,282.09218436873743,298.09448897795585
231,271.4061810154525,284.4061810154525,300.1750442312687
232,273.2119205298012,286.21192052980115,301.225830822851
233,275.21854304635747,288.16126732149803,302.65583349312635
234,277.5404411764704,290.17073170731703,305.08312858680074
235,279.4447637795274,292.2251968503938,307.45039370078734
236,280.04358620689635,293.47867647058825,309.01242387025667
237,281.4867235232128,294.98811544991514,310.13276375196006
238,282.3339225698093,295.89034482758626,310.91159360706405
239,283.15452538631354,297.1545253863137,312.15452538631354
240,285.1122244488979,299.16833667334663,314.11503006012043
241,288.23872322591933,302.24248496993994,318.0957769531459
242,289.7622549019608,303.7622549019608,318.9066724111205
243,290.4806201550387,304.48062015503876,319.48316100607894
244,291.0787447006695,305.1422271223815,320.14222712238154
245,291.74523491619976,306.37691001697794,321.376910016978
246,293.33088235294105,308.3308823529411,323.3308823529413
247,294.53989813242777,309.5398981324278,324.5533955857386
248,295.5049614112458,310.50496141124586,325.7902840417853
249,297.00866373842103,312.0409448818898,327.0674448767835
250,297.5631262525052,313.1688810546219,329.12625250501003
251,298.6539734665748,314.53893866299103,330.5415366249877
252,299.8707108839976,315.87184873949576,332.46810154525406
253,301.3573529411766,317.71470588235303,333.7307720588237
254,303.2352941176475,319.47058823529414,336.23529411764696
255,305.7647058823529,321.83193277310926,338.7647058823528
256,307.6833667334669,323.6833667334671,340.3746492985973
257,309.0196039880424,325.0197869101979,342.01013712235556
258,309.77360352813633,325.7808219178083,342.5671232876712
259,310.9215629053177,326.9234760051881,343.4273662259949
260,312.7277491644248,329.0951724137931,345.1201724137935
261,315.6606544604593,331.682119205298,348.6821192052978
262,317.5262745098038,333.5490196078432,350.5490196078431
263,319.0055867796849,335.0677165354331,352.067716535433
264,319.7133442453481,336.5,353.5
265,320.09819207165367,338.06838235294117,355.06838235294117
266,320.5987705440857,338.80367647058824,355.80367647058824
267,321.1482850081025,339.1757793764988,356.1757793764988
268,321.3741737296343,339.415587529976,356.415587529976
269,321.6000624511661,339.65539568345326,356.65539568345326
270,321.8259511726979,339.8952038369305,356.8952038369305
271,322.8235294117647,341.8235294117647,358.8235294117644
272,327.0514705882352,346.0514705882352,363.03139705882353
273,329.55978094362746,348.41789215686276,364.64661458333364
274,331.507014028056,350.6809338521401,367.5070140280562
275,332.9064566840407,352.3278236914604,369.33601928374685
276,334.28754022988505,354.2924137931036,371.29723985750354
277,335.2683220318349,355.3358620689656,372.3358620689655
278,335.86050397352517,356.14829659318673,373.148296593187
279,338.07723703790725,359.1443123938881,376.1693123938882
280,338.9971612802811,360.99398797595205,378.01898797595226
281,341.1949189374054,363.09453781512616,380.1986754966893
