quantiles,Weibull,Exponential,Normal,Lake,Event
0.025,121.85432861569005,128.38802479883984,120.83164467655055,Skilak,Megathrust
0.5,123.50396942901872,129.32462733142947,122.55712210481076,Skilak,Megathrust
0.975,125.08466527513048,130.12888763119003,124.33031022633767,Skilak,Megathrust
0.025,194.6148906360782,193.5078587298893,203.0067200605507,Skilak,Intraplate
0.5,196.2329955266331,194.98532090171932,205.48636281775418,Skilak,Intraplate
0.975,197.47812459334997,196.33136548893546,207.22141634263593,Skilak,Intraplate
0.025,116.17320780110602,125.54224333107324,116.76541382134066,Eklutna,Megathrust
0.5,132.95318905930537,141.15278736767266,133.88726633823214,Eklutna,Megathrust
0.975,134.64722778857936,142.0449602237601,135.79393191711102,Eklutna,Megathrust
0.025,84.19908801165961,82.21584231976588,90.24443652201226,Eklutna,Intraplate
0.5,109.82446054072122,107.82485323181288,117.98080365911301,Eklutna,Intraplate
0.975,123.07304738942824,121.10464928026444,131.99746709678556,Eklutna,Intraplate
